Running: /gpfs/home/tonshen/.conda/envs/MPS/bin/python /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/partition_compare_optimize.py --config /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/param.yaml --case partition_1x1 --out-dir /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/runs/20260319_partition_compare_13q_seed12_iter1000_r10/partition_1x1_seed=1 --iterations 1000 --report-every 10 --init-seed 1
Preparing partition-compare case `partition_1x1`.
Iteration    0 | cost=1.31714123001 | residual=1.14766773502 | consensus=0 | error=1.42631617363
Iteration   10 | cost=1.1755312716 | residual=1.08421919905 | consensus=0 | error=1.34868369493
Iteration   20 | cost=1.111327385 | residual=1.05419513611 | consensus=0 | error=1.28899604271
Iteration   30 | cost=1.07452805499 | residual=1.03659445059 | consensus=0 | error=1.24064104345
Iteration   40 | cost=1.05164918716 | residual=1.02549948179 | consensus=0 | error=1.20187630658
Iteration   50 | cost=1.03707596244 | residual=1.01836926625 | consensus=0 | error=1.17109994188
Iteration   60 | cost=1.0275959243 | residual=1.0137040615 | consensus=0 | error=1.14658003516
Iteration   70 | cost=1.02127699234 | residual=1.0105825015 | consensus=0 | error=1.12677295134
Iteration   80 | cost=1.01690156814 | residual=1.0084153748 | consensus=0 | error=1.11045637092
Iteration   90 | cost=1.01373150675 | residual=1.00684234454 | consensus=0 | error=1.09673941009
Iteration  100 | cost=1.0113363686 | residual=1.00565221056 | consensus=0 | error=1.08500591114
Iteration  110 | cost=1.00946488117 | residual=1.00472129527 | consensus=0 | error=1.07483740857
Iteration  120 | cost=1.0079655258 | residual=1.00397486313 | consensus=0 | error=1.06594593281
Iteration  130 | cost=1.00674224884 | residual=1.00336546126 | consensus=0 | error=1.05812608919
Iteration  140 | cost=1.00573077663 | residual=1.00286129481 | consensus=0 | error=1.05122444614
Iteration  150 | cost=1.00488598202 | residual=1.00244001418 | consensus=0 | error=1.0451210609
Iteration  160 | cost=1.00417492726 | residual=1.00208528941 | consensus=0 | error=1.03971851866
Iteration  170 | cost=1.00357282772 | residual=1.00178482107 | consensus=0 | error=1.03493534158
Iteration  180 | cost=1.00306057721 | residual=1.0015291195 | consensus=0 | error=1.03070189051
Iteration  190 | cost=1.00262315491 | residual=1.00131071846 | consensus=0 | error=1.02695770357
Iteration  200 | cost=1.00224855822 | residual=1.00112364782 | consensus=0 | error=1.02364968753
Iteration  210 | cost=1.00192706442 | residual=1.00096306846 | consensus=0 | error=1.02073083501
Iteration  220 | cost=1.00165070587 | residual=1.00082501261 | consensus=0 | error=1.01815927862
Iteration  230 | cost=1.00141288805 | residual=1.00070619467 | consensus=0 | error=1.01589756925
Iteration  240 | cost=1.00120810598 | residual=1.00060387066 | consensus=0 | error=1.01391210878
Iteration  250 | cost=1.00103172958 | residual=1.0005157318 | consensus=0 | error=1.01217269249
Iteration  260 | cost=1.00087983888 | residual=1.00043982272 | consensus=0 | error=1.01065213189
Iteration  270 | cost=1.00074909574 | residual=1.00037447775 | consensus=0 | error=1.00932593816
Iteration  280 | cost=1.00063664278 | residual=1.00031827074 | consensus=0 | error=1.00817205228
Iteration  290 | cost=1.0005400232 | residual=1.00026997516 | consensus=0 | error=1.00717061187
Iteration  300 | cost=1.00045711641 | residual=1.00022853209 | consensus=0 | error=1.00630374724
Iteration  310 | cost=1.00038608609 | residual=1.00019302442 | consensus=0 | error=1.00555540108
Iteration  320 | cost=1.00032533794 | residual=1.00016265574 | consensus=0 | error=1.00491116735
Iteration  330 | cost=1.00027348497 | residual=1.00013673314 | consensus=0 | error=1.00435814601
Iteration  340 | cost=1.00022931886 | residual=1.00011465286 | consensus=0 | error=1.00388481088
Iteration  350 | cost=1.00019178606 | residual=1.00009588843 | consensus=0 | error=1.00348088858
Iteration  360 | cost=1.00015996773 | residual=1.00007998067 | consensus=0 | error=1.00313724705
Iteration  370 | cost=1.00013306273 | residual=1.00006652915 | consensus=0 | error=1.00284579221
Iteration  380 | cost=1.000110373 | residual=1.00005518498 | consensus=0 | error=1.00259937213
Iteration  390 | cost=1.00009129105 | residual=1.00004564448 | consensus=0 | error=1.00239168784
Iteration  400 | cost=1.00007528902 | residual=1.0000376438 | consensus=0 | error=1.00221721035
Iteration  410 | cost=1.00006190912 | residual=1.00003095408 | consensus=0 | error=1.00207110344
Iteration  420 | cost=1.00005075522 | residual=1.00002537729 | consensus=0 | error=1.00194915214
Iteration  430 | cost=1.00004148541 | residual=1.00002074249 | consensus=0 | error=1.00184769635
Iteration  440 | cost=1.00003380536 | residual=1.00001690254 | consensus=0 | error=1.00176356973
