Running: /gpfs/home/tonshen/.conda/envs/MPS/bin/python /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/partition_compare_optimize.py --config /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/param.yaml --case partition_1x1 --out-dir /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/runs/20260319_partition_compare_all_seed12_lr002_sigma1_r10/partition_1x1_seed=1 --iterations 1000 --report-every 10 --init-seed 1
Preparing partition-compare case `partition_1x1`.
Iteration    0 | cost=1.31714123001 | residual=1.14766773502 | consensus=0 | error=1.42631617363
Iteration   10 | cost=1.11138557688 | residual=1.0542227359 | consensus=0 | error=1.28634210347
Iteration   20 | cost=1.05116429133 | residual=1.02526303519 | consensus=0 | error=1.19016265602
Iteration   30 | cost=1.02522704149 | residual=1.01253495816 | consensus=0 | error=1.12526065523
Iteration   40 | cost=1.01352303167 | residual=1.00673881005 | consensus=0 | error=1.08400878918
Iteration   50 | cost=1.00803601017 | residual=1.00400996518 | consensus=0 | error=1.05808309093
Iteration   60 | cost=1.00517420984 | residual=1.00258376699 | consensus=0 | error=1.04129923433
Iteration   70 | cost=1.00349053067 | residual=1.00174374501 | consensus=0 | error=1.02993049602
Iteration   80 | cost=1.0024116421 | residual=1.00120509492 | consensus=0 | error=1.02192479528
Iteration   90 | cost=1.00168336675 | residual=1.00084132946 | consensus=0 | error=1.01614702497
Iteration  100 | cost=1.00117702721 | residual=1.00058834053 | consensus=0 | error=1.01192965265
Iteration  110 | cost=1.00081983328 | residual=1.00040983266 | consensus=0 | error=1.00884644378
Iteration  120 | cost=1.00056671484 | residual=1.00028331729 | consensus=0 | error=1.00660365879
Iteration  130 | cost=1.00038774871 | residual=1.00019385557 | consensus=0 | error=1.0049873405
Iteration  140 | cost=1.00026207811 | residual=1.00013103047 | consensus=0 | error=1.00383657749
Iteration  150 | cost=1.00017472352 | residual=1.00008735795 | consensus=0 | error=1.00302874401
Iteration  160 | cost=1.00011476091 | residual=1.00005737881 | consensus=0 | error=1.00247035932
Iteration  170 | cost=1.00007418863 | residual=1.00003709363 | consensus=0 | error=1.00209071967
Iteration  180 | cost=1.00004716623 | residual=1.00002358283 | consensus=0 | error=1.00183704014
Iteration  190 | cost=1.00002946974 | residual=1.00001473476 | consensus=0 | error=1.00167054932
Iteration  200 | cost=1.00001808464 | residual=1.00000904228 | consensus=0 | error=1.00156328741
Iteration  210 | cost=1.00001089413 | residual=1.00000544705 | consensus=0 | error=1.00149548595
Iteration  220 | cost=1.00000643869 | residual=1.00000321934 | consensus=0 | error=1.0014534544
Iteration  230 | cost=1.00000373165 | residual=1.00000186582 | consensus=0 | error=1.0014279118
Iteration  240 | cost=1.00000211969 | residual=1.00000105985 | consensus=0 | error=1.00141270226
Iteration  250 | cost=1.00000117944 | residual=1.00000058972 | consensus=0 | error=1.00140383222
Iteration  260 | cost=1.00000064245 | residual=1.00000032123 | consensus=0 | error=1.0013987685
Iteration  270 | cost=1.00000034236 | residual=1.00000017118 | consensus=0 | error=1.00139594039
Iteration  280 | cost=1.00000017836 | residual=1.00000008918 | consensus=0 | error=1.00139439615
Iteration  290 | cost=1.00000009076 | residual=1.00000004538 | consensus=0 | error=1.00139357243
Iteration  300 | cost=1.00000004506 | residual=1.00000002253 | consensus=0 | error=1.00139314361
Iteration  310 | cost=1.00000002181 | residual=1.0000000109 | consensus=0 | error=1.001392926
Iteration  320 | cost=1.00000001027 | residual=1.00000000514 | consensus=0 | error=1.00139281851
Iteration  330 | cost=1.0000000047 | residual=1.00000000235 | consensus=0 | error=1.00139276694
Iteration  340 | cost=1.00000000209 | residual=1.00000000104 | consensus=0 | error=1.00139274297
Iteration  350 | cost=1.0000000009 | residual=1.00000000045 | consensus=0 | error=1.00139273222
Iteration  360 | cost=1.00000000037 | residual=1.00000000019 | consensus=0 | error=1.0013927276
Iteration  370 | cost=1.00000000015 | residual=1.00000000007 | consensus=0 | error=1.00139272571
Iteration  380 | cost=1.00000000005 | residual=1.00000000003 | consensus=0 | error=1.00139272499
Iteration  390 | cost=1.00000000002 | residual=1.00000000001 | consensus=0 | error=1.00139272474
Iteration  400 | cost=1 | residual=1 | consensus=0 | error=1.00139272467
Iteration  410 | cost=0.999999999999 | residual=0.999999999999 | consensus=0 | error=1.00139272466
Iteration  420 | cost=0.999999999997 | residual=0.999999999999 | consensus=0 | error=1.00139272467
Iteration  430 | cost=0.999999999997 | residual=0.999999999998 | consensus=0 | error=1.00139272468
Iteration  440 | cost=0.999999999997 | residual=0.999999999998 | consensus=0 | error=1.00139272468
Iteration  450 | cost=0.999999999997 | residual=0.999999999998 | consensus=0 | error=1.00139272469
Iteration  460 | cost=0.999999999997 | residual=0.999999999998 | consensus=0 | error=1.00139272469
Iteration  470 | cost=0.999999999997 | residual=0.999999999998 | consensus=0 | error=1.00139272469
Iteration  480 | cost=0.999999999997 | residual=0.999999999998 | consensus=0 | error=1.00139272469
Iteration  490 | cost=0.999999999997 | residual=0.999999999998 | consensus=0 | error=1.00139272469
Iteration  500 | cost=0.999999999997 | residual=0.999999999998 | consensus=0 | error=1.00139272469
Iteration  510 | cost=0.999999999997 | residual=0.999999999998 | consensus=0 | error=1.00139272469
Iteration  520 | cost=0.999999999997 | residual=0.999999999998 | consensus=0 | error=1.00139272469
Iteration  530 | cost=0.999999999997 | residual=0.999999999998 | consensus=0 | error=1.00139272469
Iteration  540 | cost=0.999999999997 | residual=0.999999999998 | consensus=0 | error=1.00139272469
Iteration  550 | cost=0.999999999997 | residual=0.999999999998 | consensus=0 | error=1.00139272469
