Running: /gpfs/home/tonshen/.conda/envs/MPS/bin/python /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/partition_compare_optimize.py --config /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/param.yaml --case partition_1x1 --out-dir /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/runs/20260319_partition_compare_laptoppath_blocknorm_seed12_iter1000_r10/partition_1x1_seed=2 --iterations 1000 --report-every 10 --init-seed 2
Preparing partition-compare case `partition_1x1`.
Iteration    0 | cost=1.44866441445 | residual=1.2036047584 | consensus=0 | error=1.4140540785
Iteration   10 | cost=1.16703310221 | residual=1.08029306312 | consensus=0 | error=1.25849965575
Iteration   20 | cost=1.0656387134 | residual=1.0322977833 | consensus=0 | error=1.15969125413
Iteration   30 | cost=1.0136684275 | residual=1.00681101876 | consensus=0 | error=1.08766542578
Iteration   40 | cost=0.966499004874 | residual=0.983106812546 | consensus=0 | error=1.03035044522
Iteration   50 | cost=0.901062119508 | residual=0.949242919125 | consensus=0 | error=0.977969907815
Iteration   60 | cost=0.772972302277 | residual=0.879188433885 | consensus=0 | error=0.902580104946
Iteration   70 | cost=0.525999300549 | residual=0.72525809237 | consensus=0 | error=0.7494076005
Iteration   80 | cost=0.251313858391 | residual=0.501312136689 | consensus=0 | error=0.523441534634
Iteration   90 | cost=0.0896665090387 | residual=0.299443665885 | consensus=0 | error=0.32039747107
Iteration  100 | cost=0.0278130933543 | residual=0.166772579744 | consensus=0 | error=0.18307320962
Iteration  110 | cost=0.00612801421027 | residual=0.0782816339273 | consensus=0 | error=0.0852701411797
Iteration  120 | cost=0.000685678026485 | residual=0.0261854544844 | consensus=0 | error=0.0290326185451
Iteration  130 | cost=0.000716174794892 | residual=0.0267614423186 | consensus=0 | error=0.0301514360111
Iteration  140 | cost=0.000587251396622 | residual=0.02423327045 | consensus=0 | error=0.0267295872327
Iteration  150 | cost=0.000316665134323 | residual=0.0177950873671 | consensus=0 | error=0.0201054210171
Iteration  160 | cost=0.000164257632461 | residual=0.0128163033881 | consensus=0 | error=0.014853671602
Iteration  170 | cost=0.000137812128826 | residual=0.0117393410761 | consensus=0 | error=0.0137160983167
Iteration  180 | cost=0.000136866329693 | residual=0.0116989884079 | consensus=0 | error=0.0136955335151
Iteration  190 | cost=0.000135662767305 | residual=0.0116474360861 | consensus=0 | error=0.0136593808409
Iteration  200 | cost=0.000134118816571 | residual=0.0115809678631 | consensus=0 | error=0.0135926012082
Iteration  210 | cost=0.000133252090559 | residual=0.0115434869358 | consensus=0 | error=0.0135484926397
Iteration  220 | cost=0.000133216809273 | residual=0.0115419586444 | consensus=0 | error=0.0135437236676
Iteration  230 | cost=0.00013321416321 | residual=0.0115418440158 | consensus=0 | error=0.0135447290249
Iteration  240 | cost=0.000133191825617 | residual=0.0115408762966 | consensus=0 | error=0.0135453307282
Iteration  250 | cost=0.000133181194175 | residual=0.011540415688 | consensus=0 | error=0.013545007605
Iteration  260 | cost=0.000133178843712 | residual=0.0115403138514 | consensus=0 | error=0.0135443874998
Iteration  270 | cost=0.000133179182457 | residual=0.0115403285281 | consensus=0 | error=0.0135441837378
Iteration  280 | cost=0.000133178810673 | residual=0.0115403124198 | consensus=0 | error=0.0135442897032
Iteration  290 | cost=0.000133178631999 | residual=0.0115403046787 | consensus=0 | error=0.0135443936469
Iteration  300 | cost=0.000133178613577 | residual=0.0115403038805 | consensus=0 | error=0.0135443782717
Iteration  310 | cost=0.000133178613956 | residual=0.0115403038969 | consensus=0 | error=0.0135443347826
Iteration  320 | cost=0.000133178607879 | residual=0.0115403036335 | consensus=0 | error=0.013544329875
Iteration  330 | cost=0.000133178605142 | residual=0.011540303515 | consensus=0 | error=0.0135443443546
Iteration  340 | cost=0.000133178605205 | residual=0.0115403035177 | consensus=0 | error=0.0135443488171
Iteration  350 | cost=0.000133178605104 | residual=0.0115403035134 | consensus=0 | error=0.0135443443491
Iteration  360 | cost=0.000133178604987 | residual=0.0115403035084 | consensus=0 | error=0.0135443420602
Iteration  370 | cost=0.000133178604962 | residual=0.0115403035073 | consensus=0 | error=0.0135443433369
Iteration  380 | cost=0.000133178604966 | residual=0.0115403035074 | consensus=0 | error=0.0135443443029
Iteration  390 | cost=0.000133178604962 | residual=0.0115403035072 | consensus=0 | error=0.0135443439535
Iteration  400 | cost=0.000133178604958 | residual=0.0115403035071 | consensus=0 | error=0.013544343578
Iteration  410 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443436728
Iteration  420 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443438127
Iteration  430 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437851
Iteration  440 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437345
Iteration  450 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437437
Iteration  460 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437615
Iteration  470 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437581
Iteration  480 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437518
Iteration  490 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437533
Iteration  500 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437554
Iteration  510 | cost=0.000133178604962 | residual=0.0115403035071 | consensus=0 | error=0.0135443437548
Iteration  520 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437541
Iteration  530 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  540 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437546
Iteration  550 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
