Running: /gpfs/home/tonshen/.conda/envs/MPS/bin/python /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/partition_compare_optimize.py --config /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/param.yaml --case partition_1x1 --out-dir /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/runs/20260319_partition_compare_laptoppath_uniformsmall_blocknorm_seed12_iter1000_r2/partition_1x1_seed=2 --iterations 1000 --report-every 2 --init-seed 2
Preparing partition-compare case `partition_1x1`.
Iteration    0 | cost=0.0132970244409 | residual=0.115312724541 | consensus=0 | error=0.133104902612
Iteration    2 | cost=0.00280020273124 | residual=0.0529169418175 | consensus=0 | error=0.0611367782225
Iteration    4 | cost=0.00131068191067 | residual=0.0362033411544 | consensus=0 | error=0.0415492458374
Iteration    6 | cost=0.00202693403077 | residual=0.045021484103 | consensus=0 | error=0.0514260046921
Iteration    8 | cost=0.00235833004091 | residual=0.0485626403832 | consensus=0 | error=0.05592748546
Iteration   10 | cost=0.00198467953987 | residual=0.0445497423107 | consensus=0 | error=0.0513646120947
Iteration   12 | cost=0.00113844587594 | residual=0.0337408635933 | consensus=0 | error=0.0391554243607
Iteration   14 | cost=0.000679258122801 | residual=0.0260625808944 | consensus=0 | error=0.0300535917294
Iteration   16 | cost=0.000606781701319 | residual=0.0246329393576 | consensus=0 | error=0.0282728553497
Iteration   18 | cost=0.000650773033855 | residual=0.0255102535058 | consensus=0 | error=0.0295631863125
Iteration   20 | cost=0.000716746947536 | residual=0.0267721300537 | consensus=0 | error=0.0308359352273
Iteration   22 | cost=0.00059926474218 | residual=0.0244798844412 | consensus=0 | error=0.0281437899247
Iteration   24 | cost=0.000401837447474 | residual=0.0200458835563 | consensus=0 | error=0.0233943155007
Iteration   26 | cost=0.000336013263671 | residual=0.0183306645747 | consensus=0 | error=0.0214489713222
