[2026-03-10 13:07:58] System variant: cluster12_2x2_q2_index_qiskit
[2026-03-10 13:07:58] static_ops module: Qiskit_simulation.static_ops_2x2_cluster12_qiskit
[2026-03-10 13:07:58] local data qubits per agent: 11
[2026-03-10 13:07:58] epochs=5000, log_every=50, lr=0.01, spsa_c=0.05
[2026-03-10 13:07:58] Aer method=matrix_product_state, precision=single, max_bond_dim=8
[2026-03-10 13:07:58] Metropolis weight matrix Wm =
[[0.6666667  0.33333334]
 [0.33333334 0.6666667 ]]
[2026-03-10 13:07:58] Analytic spectrum: lambda_min=0.02000000, lambda_max=1.00000000, cond(A)=50.00000000
[2026-03-10 13:07:59] [Init] Initial Loss = 2.285124e+01
[2026-03-10 13:08:00] [Init] Residual = 1.312297e+00 | Variance(mean) = 1.176403e+00
[2026-03-10 13:09:44] [Epoch 00050] Loss = 1.667976e+01 | Residual = 1.471020e+00 | Variance(mean) = 2.385658e-06
[2026-03-10 13:11:25] [Epoch 00100] Loss = 1.229437e+01 | Residual = 1.463528e+00 | Variance(mean) = 2.031509e-06
[2026-03-10 13:13:06] [Epoch 00150] Loss = 8.590686e+00 | Residual = 1.471858e+00 | Variance(mean) = 2.107724e-06
[2026-03-10 13:14:47] [Epoch 00200] Loss = 6.671403e+00 | Residual = 1.478308e+00 | Variance(mean) = 6.256389e-06
[2026-03-10 13:16:29] [Epoch 00250] Loss = 4.441585e+00 | Residual = 1.453035e+00 | Variance(mean) = 5.860144e-07
[2026-03-10 13:18:10] [Epoch 00300] Loss = 3.363668e+00 | Residual = 1.440463e+00 | Variance(mean) = 2.563566e-06
[2026-03-10 13:19:51] [Epoch 00350] Loss = 2.539096e+00 | Residual = 1.434148e+00 | Variance(mean) = 1.040465e-06
[2026-03-10 13:21:32] [Epoch 00400] Loss = 2.031297e+00 | Residual = 1.408114e+00 | Variance(mean) = 1.373524e-07
[2026-03-10 13:23:13] [Epoch 00450] Loss = 1.821251e+00 | Residual = 1.402844e+00 | Variance(mean) = 9.684669e-08
[2026-03-10 13:24:54] [Epoch 00500] Loss = 1.667632e+00 | Residual = 1.395218e+00 | Variance(mean) = 2.978810e-07
[2026-03-10 13:26:35] [Epoch 00550] Loss = 1.516188e+00 | Residual = 1.372112e+00 | Variance(mean) = 6.422096e-08
[2026-03-10 13:28:16] [Epoch 00600] Loss = 1.421852e+00 | Residual = 1.357092e+00 | Variance(mean) = 9.281046e-08
[2026-03-10 13:29:57] [Epoch 00650] Loss = 1.342934e+00 | Residual = 1.339917e+00 | Variance(mean) = 2.539216e-07
[2026-03-10 13:31:38] [Epoch 00700] Loss = 1.265343e+00 | Residual = 1.317463e+00 | Variance(mean) = 9.850057e-08
[2026-03-10 13:33:19] [Epoch 00750] Loss = 1.208220e+00 | Residual = 1.301332e+00 | Variance(mean) = 6.263812e-08
[2026-03-10 13:35:00] [Epoch 00800] Loss = 1.156017e+00 | Residual = 1.284201e+00 | Variance(mean) = 4.371271e-08
[2026-03-10 13:36:41] [Epoch 00850] Loss = 1.115726e+00 | Residual = 1.269641e+00 | Variance(mean) = 7.398201e-08
[2026-03-10 13:38:20] [Epoch 00900] Loss = 1.070041e+00 | Residual = 1.251729e+00 | Variance(mean) = 2.747894e-08
