[2026-03-11 03:02:49] System variant: cluster12_stabilizer_2x2_q2_index_qiskit
[2026-03-11 03:02:49] static_ops module: Qiskit_simulation.static_ops_2x2_cluster12_stabilizer_qiskit
[2026-03-11 03:02:49] local data qubits per agent: 11
[2026-03-11 03:02:49] epochs=5000, log_every=50, lr=0.01, spsa_c=0.05
[2026-03-11 03:02:49] Aer method=matrix_product_state, precision=single, max_bond_dim=8
[2026-03-11 03:02:49] Metropolis weight matrix Wm =
[[0.6666667  0.33333334]
 [0.33333334 0.6666667 ]]
[2026-03-11 03:02:49] Analytic spectrum: lambda_min=0.02000000, lambda_max=1.00000000, cond(A)=50.00000000
[2026-03-11 03:02:50] [Init] Initial Loss = 9.596716e+00
[2026-03-11 03:02:51] [Init] Residual = 1.327377e+00 | Variance(mean) = 9.322848e-01
[2026-03-11 03:04:25] [Epoch 00050] Loss = 6.016815e+00 | Residual = 1.289775e+00 | Variance(mean) = 2.113165e-06
[2026-03-11 03:05:56] [Epoch 00100] Loss = 3.935683e+00 | Residual = 1.283337e+00 | Variance(mean) = 2.657053e-06
[2026-03-11 03:07:26] [Epoch 00150] Loss = 2.609963e+00 | Residual = 1.272351e+00 | Variance(mean) = 4.162521e-07
[2026-03-11 03:08:57] [Epoch 00200] Loss = 1.704214e+00 | Residual = 1.247085e+00 | Variance(mean) = 7.450634e-07
[2026-03-11 03:10:27] [Epoch 00250] Loss = 1.342643e+00 | Residual = 1.229070e+00 | Variance(mean) = 1.617566e-06
[2026-03-11 03:11:58] [Epoch 00300] Loss = 1.077932e+00 | Residual = 1.204676e+00 | Variance(mean) = 2.675250e-07
[2026-03-11 03:13:28] [Epoch 00350] Loss = 9.700299e-01 | Residual = 1.189830e+00 | Variance(mean) = 2.116639e-08
[2026-03-11 03:14:59] [Epoch 00400] Loss = 9.199583e-01 | Residual = 1.180151e+00 | Variance(mean) = 7.348380e-09
[2026-03-11 03:16:30] [Epoch 00450] Loss = 8.776262e-01 | Residual = 1.167946e+00 | Variance(mean) = 1.039967e-07
[2026-03-11 03:18:00] [Epoch 00500] Loss = 8.450939e-01 | Residual = 1.156122e+00 | Variance(mean) = 8.105510e-08
[2026-03-11 03:19:31] [Epoch 00550] Loss = 8.207612e-01 | Residual = 1.146659e+00 | Variance(mean) = 6.925622e-08
[2026-03-11 03:21:03] [Epoch 00600] Loss = 7.915136e-01 | Residual = 1.134542e+00 | Variance(mean) = 3.261978e-08
[2026-03-11 03:22:34] [Epoch 00650] Loss = 7.650807e-01 | Residual = 1.122970e+00 | Variance(mean) = 4.420644e-08
[2026-03-11 03:24:05] [Epoch 00700] Loss = 7.469605e-01 | Residual = 1.114773e+00 | Variance(mean) = 7.854930e-08
[2026-03-11 03:25:36] [Epoch 00750] Loss = 7.166101e-01 | Residual = 1.101284e+00 | Variance(mean) = 7.589905e-09
[2026-03-11 03:27:07] [Epoch 00800] Loss = 7.016592e-01 | Residual = 1.094782e+00 | Variance(mean) = 1.320977e-08
[2026-03-11 03:28:38] [Epoch 00850] Loss = 6.791668e-01 | Residual = 1.084523e+00 | Variance(mean) = 6.400221e-09
